time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-27T06:49:05.960Z,35.7705,-117.5903333,8.11,1.99,ml,22,83,0.04552,0.14,ci,ci39014383,2019-12-27T07:00:07.160Z,"17km W of Searles Valley, CA",earthquake,0.27,0.58,0.163,26,automatic,ci,ci
2019-12-27T06:38:04.800Z,36.7675018,-121.3939972,5.26,1.91,md,9,156,0.04288,0.07,nc,nc73320206,2019-12-27T06:53:03.220Z,"6km SSW of Ridgemark, CA",earthquake,0.45,1.05,0.29,7,automatic,nc,nc
2019-12-27T05:59:17.460Z,35.8398333,-117.6685,4.4,1.61,ml,20,105,0.0625,0.19,ci,ci39014311,2019-12-27T06:10:30.990Z,"24km ESE of Little Lake, CA",earthquake,0.29,0.68,0.198,24,automatic,ci,ci
2019-12-27T05:52:58.280Z,38.7963333,-122.8036652,1.92,0.32,md,10,75,0.008009,0.01,nc,nc73320181,2019-12-27T06:14:03.639Z,"5km WNW of The Geysers, CA",earthquake,0.31,0.73,0.24,2,automatic,nc,nc
2019-12-27T05:49:49.090Z,38.8305016,-122.8105011,2.03,0.56,md,10,88,0.007104,0.01,nc,nc73320176,2019-12-27T06:04:05.277Z,"8km NW of The Geysers, CA",earthquake,0.42,0.68,,1,automatic,nc,nc
2019-12-27T05:42:16.477Z,-18.0347,-178.4009,570.2,4.3,mb,,74,3.389,0.85,us,us70006rfs,2019-12-27T06:07:02.040Z,"291km N of Ndoi Island, Fiji",earthquake,10.3,6.9,0.061,76,reviewed,us,us
2019-12-27T05:35:18.740Z,33.353,-116.3538333,14.8,0.85,ml,18,138,0.03818,0.18,ci,ci39014303,2019-12-27T05:41:09.880Z,"11km N of Borrego Springs, CA",earthquake,0.43,0.53,0.105,11,automatic,ci,ci
2019-12-27T05:28:46.690Z,33.411,-116.3485,14.38,0.98,ml,33,114,0.05841,0.26,ci,ci39014287,2019-12-27T05:32:24.823Z,"17km N of Borrego Springs, CA",earthquake,0.39,0.68,0.174,24,automatic,ci,ci
2019-12-27T05:22:16.767Z,35.91632462,-98.51805878,1.881474018,2.46,ml,43,64.66061401,0.07711293548,0.7312535752,ok,ok2019zidt,2019-12-27T06:23:39.040Z,"11km NW of Watonga, Oklahoma",earthquake,1.878116967,1.44200339,,33,automatic,ok,ok
2019-12-27T05:10:10.300Z,37.6525002,-118.9095001,1.93,1.21,md,12,110,0.003796,0.02,nc,nc73320171,2019-12-27T05:26:02.921Z,"6km ENE of Mammoth Lakes, CA",earthquake,0.43,0.52,0.14,12,automatic,nc,nc
2019-12-27T05:10:02.118Z,37.8971,142.7059,10,4.9,mb,,121,3.518,0.64,us,us70006rff,2019-12-27T05:35:42.040Z,"136km ESE of Ishinomaki, Japan",earthquake,6.4,1.9,0.062,83,reviewed,us,us
2019-12-27T04:53:47.232Z,-50.327,130.5338,10,5,mb,,129,16.649,1.09,us,us70006rf7,2019-12-27T05:09:18.040Z,"Western Indian-Antarctic Ridge",earthquake,13,1.9,0.107,28,reviewed,us,us
2019-12-27T04:52:45.520Z,33.3538333,-116.3843333,11.58,1.84,ml,73,31,0.06312,0.22,ci,ci39014279,2019-12-27T05:03:33.190Z,"11km N of Borrego Springs, CA",earthquake,0.22,0.61,0.209,27,automatic,ci,ci
